hotel,lead_time,arrival_month,arrival_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,room_type,previous_cancellations,previous_bookings_not_canceled,adr,occupancy_rate
Resort Hotel,356,5,18,2,0,3,2,0,Standard,4,4,3895.76,0.595
Resort Hotel,144,11,17,6,0,3,1,0,Standard,1,3,5968.45,0.831
City Hotel,231,6,32,0,2,1,1,1,Deluxe,1,8,5557.16,0.616
City Hotel,359,3,20,3,1,2,1,1,Deluxe,3,0,5032.23,0.425
City Hotel,203,5,51,6,2,3,0,1,Suite,0,3,8378.47,0.55
City Hotel,212,11,23,0,2,1,0,1,Family,0,0,6742.8,0.697
City Hotel,39,8,28,6,3,3,0,1,Deluxe,2,2,7554.8,0.558
Resort Hotel,274,6,46,1,3,1,0,0,Standard,4,3,3749.06,0.635
Resort Hotel,322,4,26,2,0,2,0,1,Suite,3,0,7735.86,0.526
Resort Hotel,81,2,7,2,3,2,2,1,Suite,0,4,9015.29,0.7
Resort Hotel,180,9,41,7,0,2,2,0,Suite,2,5,9671.44,0.702
City Hotel,319,12,20,6,0,2,2,0,Standard,3,0,4161.46,0.716
City Hotel,82,1,41,7,1,3,1,1,Deluxe,1,9,6392.56,0.416
City Hotel,302,1,47,5,1,1,2,0,Family,0,9,7416.38,0.413
Resort Hotel,261,4,11,4,2,2,1,1,Suite,4,3,8413.66,0.688
Resort Hotel,271,7,7,3,1,3,2,0,Standard,3,3,4487.2,0.772
City Hotel,199,1,38,6,0,2,0,1,Deluxe,2,0,4745.46,0.325
City Hotel,239,9,27,2,3,2,2,1,Deluxe,4,1,7394.29,0.941
Resort Hotel,179,4,9,7,1,2,0,1,Family,1,9,8144.04,0.608
Resort Hotel,170,3,4,1,1,1,0,1,Suite,4,4,7403.91,0.677
City Hotel,294,1,49,0,1,1,2,0,Standard,2,1,3164.52,0.445
City Hotel,176,10,38,2,1,1,2,1,Deluxe,1,2,5909.46,0.652
Resort Hotel,236,4,29,1,0,2,0,1,Standard,2,8,2821.57,0.575
City Hotel,137,9,49,0,0,3,1,1,Deluxe,0,4,5954.56,0.763
City Hotel,326,10,26,4,2,3,1,1,Suite,2,0,9244.07,0.772
City Hotel,310,6,25,2,3,3,2,0,Suite,4,4,8300.44,0.767
Resort Hotel,128,6,14,7,2,2,0,0,Family,0,2,8707.22,0.473
Resort Hotel,48,1,37,2,2,1,1,1,Deluxe,0,0,5259.61,0.616
Resort Hotel,163,10,50,6,1,3,2,1,Standard,3,2,6250.94,0.801
Resort Hotel,276,2,28,6,3,2,2,0,Deluxe,4,5,5664.88,0.581
Resort Hotel,292,11,8,1,1,2,0,1,Standard,4,9,3532.17,0.64
Resort Hotel,115,6,42,7,0,3,1,1,Family,1,4,8782.7,0.57
Resort Hotel,23,2,11,5,2,3,2,0,Deluxe,2,0,6384.72,0.614
City Hotel,310,3,35,6,3,2,1,0,Suite,2,1,8497.27,0.329
City Hotel,24,4,31,3,0,3,2,0,Standard,4,4,5054.49,0.41
City Hotel,126,11,34,4,2,2,2,1,Suite,2,8,9426.41,0.821
City Hotel,233,5,46,3,3,3,1,1,Family,4,4,8274.5,0.681
City Hotel,208,9,36,2,2,1,1,1,Family,0,4,8193.02,0.65
City Hotel,92,12,17,3,3,2,0,1,Standard,2,0,5331.68,0.725
City Hotel,93,4,49,0,2,1,0,0,Deluxe,2,4,4375.01,0.695
Resort Hotel,326,11,21,4,1,3,0,0,Suite,4,7,9867.02,0.864
Resort Hotel,224,9,26,3,2,2,0,0,Suite,4,8,9474.09,0.691
City Hotel,279,11,41,0,2,3,1,0,Standard,1,9,4825.02,0.652
City Hotel,10,10,28,1,3,2,0,1,Standard,2,2,4852.71,0.898
Resort Hotel,328,3,22,3,3,3,1,1,Standard,3,3,3229.71,0.446
City Hotel,11,8,41,4,1,1,2,0,Family,4,6,7817.99,0.768
City Hotel,34,12,3,0,3,1,1,1,Family,3,6,8144.37,0.92
Resort Hotel,227,1,28,3,2,3,0,0,Suite,0,0,7308.34,0.524
City Hotel,219,11,36,1,3,1,1,0,Deluxe,0,5,5540.99,0.716
Resort Hotel,140,9,2,3,3,1,1,1,Standard,3,8,4448.11,0.564
City Hotel,22,9,46,0,3,3,1,1,Family,0,4,7839.32,0.731
Resort Hotel,82,10,20,3,1,2,1,1,Deluxe,3,7,6519.78,0.604
Resort Hotel,228,2,40,4,1,3,1,1,Standard,1,9,3776.77,0.581
Resort Hotel,343,4,50,2,0,2,0,1,Deluxe,1,8,4089.57,0.397
City Hotel,79,8,36,7,1,1,1,1,Standard,0,9,5255.82,0.532
Resort Hotel,352,7,8,7,1,1,0,1,Deluxe,3,9,6151.44,0.688
City Hotel,289,1,39,0,1,1,2,1,Suite,3,2,6479.11,0.609
City Hotel,330,5,25,0,2,1,1,0,Standard,3,0,3966.26,0.597
City Hotel,158,7,15,0,0,1,2,0,Standard,0,1,4213.68,0.78
City Hotel,127,4,30,0,2,2,0,1,Suite,3,4,8292.89,0.544
Resort Hotel,189,1,47,3,1,2,1,1,Standard,4,9,4103.22,0.743
Resort Hotel,30,9,34,4,1,2,2,0,Standard,3,6,5243.14,0.592
City Hotel,358,5,4,7,0,3,0,0,Family,4,5,7043.85,0.554
City Hotel,14,11,22,1,0,1,2,0,Suite,1,3,8875.72,0.91
Resort Hotel,312,2,25,7,3,1,1,0,Family,4,8,7117.21,0.524
City Hotel,74,8,9,4,1,1,1,1,Suite,1,3,9191.47,0.795
Resort Hotel,33,11,23,0,1,3,1,0,Deluxe,0,2,5932.14,0.643
City Hotel,358,2,39,5,2,3,0,0,Suite,1,4,8005.11,0.455
City Hotel,195,3,50,3,3,3,2,0,Suite,1,3,9727.69,0.635
Resort Hotel,330,10,12,5,1,1,0,0,Family,3,1,7992.22,0.606
City Hotel,28,1,14,3,2,2,2,1,Standard,2,2,3320.17,0.404
Resort Hotel,193,11,7,0,0,3,0,0,Suite,1,6,9316.22,0.764
City Hotel,15,2,31,3,2,3,1,1,Standard,4,1,4520.98,0.682
City Hotel,76,7,6,0,1,2,2,1,Suite,0,0,9613.14,0.712
City Hotel,292,10,23,4,2,3,2,1,Family,4,1,8908.11,0.729
Resort Hotel,80,2,19,6,2,2,2,1,Suite,0,7,9620.81,0.566
City Hotel,123,6,21,2,3,1,0,1,Deluxe,4,7,6031.76,0.476
City Hotel,18,3,19,3,3,2,1,0,Suite,1,9,8792.02,0.517
City Hotel,101,4,47,0,0,2,2,1,Suite,2,1,8663.2,0.644
City Hotel,76,11,19,5,3,1,0,0,Standard,1,5,4983.55,0.799
Resort Hotel,228,8,44,0,2,3,2,0,Standard,3,6,4745.72,0.761
Resort Hotel,296,3,34,5,3,1,1,1,Deluxe,4,0,5725.56,0.645
City Hotel,202,10,43,7,1,3,2,1,Suite,2,6,10158.08,0.773
Resort Hotel,60,6,13,3,2,3,1,0,Standard,4,7,4831.78,0.399
City Hotel,25,1,36,1,2,2,0,1,Suite,3,8,7858.52,0.559
City Hotel,70,7,25,5,2,1,0,1,Family,3,7,7757.34,0.626
City Hotel,102,8,33,0,1,2,1,1,Family,3,2,7761.5,0.661
Resort Hotel,325,11,21,3,2,1,1,0,Deluxe,1,7,5919.83,0.738
Resort Hotel,362,8,34,0,3,1,0,0,Family,1,2,7739.68,0.729
Resort Hotel,156,3,46,1,1,2,1,1,Standard,2,5,3836.26,0.428
Resort Hotel,362,10,25,2,2,3,1,1,Standard,3,3,4946.12,0.578
Resort Hotel,358,1,18,6,3,3,2,1,Deluxe,1,6,5913.98,0.401
Resort Hotel,193,9,43,6,3,1,0,0,Suite,0,7,9448.92,0.817
Resort Hotel,274,6,11,1,0,3,0,1,Standard,0,9,3043.34,0.606
Resort Hotel,323,11,19,4,3,2,1,1,Family,1,5,8965.05,0.826
Resort Hotel,185,9,49,3,3,2,1,1,Standard,2,9,5820.63,0.773
City Hotel,325,7,49,1,0,2,1,1,Deluxe,4,3,5730.78,0.715
Resort Hotel,112,1,34,2,0,1,0,0,Family,3,7,6032.55,0.578
Resort Hotel,312,12,2,0,1,1,2,1,Family,1,6,8273.06,0.748
Resort Hotel,164,12,30,3,3,3,0,1,Family,2,9,8372.17,0.867
Resort Hotel,60,1,45,7,1,2,2,0,Deluxe,4,7,5691.68,0.563
Resort Hotel,91,6,38,5,1,2,1,1,Deluxe,2,9,5008.06,0.491
Resort Hotel,285,5,15,1,2,1,0,1,Suite,4,6,8664.95,0.631
Resort Hotel,152,9,11,7,1,1,2,0,Suite,0,2,9904.45,0.71
Resort Hotel,224,2,24,7,1,1,0,1,Suite,4,2,8438.48,0.596
Resort Hotel,126,8,4,2,1,2,2,0,Deluxe,0,8,6742.73,0.703
Resort Hotel,192,11,19,7,1,2,2,1,Family,3,6,9204.73,0.751
Resort Hotel,114,5,29,1,0,3,0,1,Family,1,0,7810.43,0.781
City Hotel,261,2,14,4,3,2,1,1,Standard,0,2,4360.72,0.611
City Hotel,17,10,50,6,2,3,0,0,Suite,2,0,10148.12,0.754
Resort Hotel,9,11,17,6,0,3,1,1,Family,4,5,8301.42,0.663
Resort Hotel,91,11,8,3,2,2,2,0,Family,2,1,8446.22,0.787
City Hotel,138,12,13,0,2,3,2,0,Family,0,6,9133.45,0.715
Resort Hotel,332,6,23,2,0,3,0,0,Family,2,7,6622.4,0.485
City Hotel,356,10,29,1,1,1,0,0,Deluxe,4,5,5456.54,0.709
City Hotel,339,8,47,3,0,2,1,0,Suite,1,4,9972.42,0.666
City Hotel,51,4,11,1,2,3,1,0,Family,2,9,8220.34,0.703
City Hotel,194,2,16,3,2,3,0,1,Family,3,3,6106.23,0.647
City Hotel,205,12,50,6,1,3,1,1,Family,4,8,10155.53,0.867
Resort Hotel,286,11,44,7,0,2,1,1,Family,4,7,9161.56,0.766
City Hotel,92,5,23,4,3,1,0,1,Standard,3,4,4397.64,0.618
Resort Hotel,308,12,12,1,2,1,0,0,Family,0,0,7851.25,0.856
Resort Hotel,144,2,38,4,0,2,2,1,Family,3,7,6622.33,0.614
City Hotel,85,2,24,5,1,2,2,1,Family,0,7,7443.43,0.586
City Hotel,152,6,31,5,1,2,0,0,Standard,1,6,3204.37,0.701
Resort Hotel,1,11,38,7,3,2,2,1,Deluxe,0,6,8223.75,0.768
City Hotel,341,10,36,6,2,1,1,0,Standard,1,7,4710.74,0.722
City Hotel,259,9,1,2,3,3,0,1,Family,1,0,7660.27,0.503
Resort Hotel,163,4,26,4,3,3,2,1,Deluxe,3,2,6779.04,0.566
Resort Hotel,5,6,17,3,3,2,0,0,Family,1,3,8156.26,0.578
City Hotel,148,7,36,2,3,2,2,1,Deluxe,0,5,7173.6,0.685
Resort Hotel,204,11,17,1,1,3,0,1,Family,2,9,7920.08,0.707
City Hotel,117,6,37,1,2,1,1,1,Family,4,9,8162.53,0.664
City Hotel,88,8,27,3,3,2,2,1,Deluxe,4,8,6836.44,0.514
City Hotel,153,4,25,0,2,2,0,0,Deluxe,0,3,4806.74,0.504
Resort Hotel,166,12,30,7,1,1,1,1,Family,2,5,9064.9,0.728
Resort Hotel,160,1,41,0,1,1,2,0,Standard,1,8,3167.33,0.42
Resort Hotel,269,7,25,7,0,1,2,0,Standard,0,8,4639.91,0.987
Resort Hotel,55,3,38,1,0,2,0,1,Standard,1,5,2946.81,0.372
Resort Hotel,227,6,32,7,2,1,1,0,Standard,3,4,3190.77,0.718
City Hotel,336,2,12,6,0,2,0,1,Deluxe,2,2,4680.63,0.65
City Hotel,148,9,49,6,3,2,2,0,Deluxe,4,4,7339.91,0.681
City Hotel,45,1,21,3,2,1,0,0,Standard,0,2,3631.1,0.558
City Hotel,143,6,42,0,1,3,0,0,Suite,4,4,8387.05,0.711
Resort Hotel,237,6,34,4,1,1,1,0,Suite,1,9,8742.97,0.664
City Hotel,271,5,1,1,3,3,1,1,Suite,1,9,8511.91,0.448
Resort Hotel,119,5,13,5,0,1,2,1,Family,3,0,7644.99,0.666
City Hotel,339,1,21,4,2,1,1,1,Standard,1,5,3703.06,0.622
Resort Hotel,219,10,1,3,2,2,0,1,Family,1,6,7395.1,0.956
Resort Hotel,7,12,13,5,3,2,2,0,Deluxe,4,1,8629.36,0.662
City Hotel,343,5,31,4,0,2,1,1,Deluxe,4,2,5450.96,0.608
City Hotel,274,2,23,0,2,2,0,1,Suite,0,9,8661.37,0.547
City Hotel,352,7,3,7,3,2,0,1,Suite,0,8,9976.66,0.665
City Hotel,65,3,11,6,2,2,2,0,Deluxe,1,7,5083.05,0.408
Resort Hotel,78,4,29,0,1,2,2,0,Suite,2,3,8735.89,0.71
City Hotel,85,3,48,5,2,3,1,0,Suite,0,7,8589.35,0.675
City Hotel,123,3,18,7,2,3,1,0,Deluxe,1,7,6136.35,0.613
Resort Hotel,201,4,25,7,2,2,1,0,Family,4,5,8026.7,0.557
City Hotel,149,5,34,7,0,3,1,1,Suite,3,0,9980.56,0.603
City Hotel,45,1,18,2,0,1,2,0,Family,4,1,6417.52,0.496
City Hotel,112,4,49,6,3,3,0,1,Suite,4,3,10440.58,0.461
City Hotel,90,12,1,1,0,2,0,0,Standard,3,3,4429.52,0.87
City Hotel,140,12,28,5,2,3,1,0,Family,4,1,8448.39,0.802
Resort Hotel,288,11,4,3,2,1,2,0,Family,0,8,8821.48,0.844
City Hotel,217,8,52,1,0,3,1,0,Suite,4,1,9029.76,0.726
City Hotel,76,10,21,4,0,2,1,0,Family,3,5,9553.63,0.649
City Hotel,333,7,6,6,2,1,2,0,Standard,1,4,3891.98,0.582
City Hotel,151,9,21,3,2,1,0,1,Deluxe,1,3,6140.15,0.856
City Hotel,322,5,37,3,1,3,0,0,Standard,1,5,4341.07,0.681
Resort Hotel,238,10,30,0,3,1,1,0,Deluxe,3,3,5601.17,0.712
City Hotel,114,4,20,4,0,1,2,1,Standard,3,8,4612.83,0.656
Resort Hotel,318,8,41,0,3,1,0,0,Standard,0,9,3862.87,0.613
Resort Hotel,93,9,32,0,2,2,0,0,Family,3,6,7361.24,0.834
City Hotel,47,7,31,7,3,1,2,1,Standard,1,2,5787.62,0.539
City Hotel,190,7,36,6,0,3,2,1,Suite,3,9,9471.81,0.695
City Hotel,11,5,25,2,0,3,0,0,Suite,2,3,9422.24,0.611
City Hotel,155,4,5,0,3,1,1,0,Suite,4,0,7938.57,0.601
Resort Hotel,171,10,8,1,0,3,1,0,Suite,0,5,8631.94,0.815
City Hotel,295,1,17,3,1,1,0,0,Family,1,1,6039.94,0.625
City Hotel,176,10,15,6,2,3,1,0,Suite,1,3,9986.9,0.709
City Hotel,340,10,20,0,2,1,1,0,Standard,2,4,4117.48,0.551
City Hotel,56,7,45,5,0,1,2,1,Suite,0,7,9604.92,0.503
City Hotel,342,1,47,1,2,1,2,1,Family,4,2,7445.81,0.487
City Hotel,339,1,29,4,1,2,2,1,Deluxe,0,5,5020.28,0.528
Resort Hotel,202,5,36,3,0,3,1,1,Standard,0,0,4936.89,0.663
Resort Hotel,184,9,50,6,1,1,2,0,Standard,1,8,5394.43,0.744
City Hotel,120,6,51,5,1,2,2,1,Family,3,0,8119.51,0.739
City Hotel,225,3,28,6,2,2,0,0,Deluxe,4,1,5653.33,0.755
City Hotel,201,3,8,6,2,1,2,0,Suite,0,0,8945.93,0.585
Resort Hotel,329,7,14,5,3,1,0,1,Deluxe,2,7,6204.85,0.711
City Hotel,362,6,33,4,1,1,1,0,Standard,1,3,4265.12,0.573
Resort Hotel,355,9,34,5,2,1,2,1,Standard,3,1,3839.93,0.73
City Hotel,215,6,52,1,1,1,0,1,Standard,3,6,3959.31,0.671
City Hotel,42,5,29,7,3,3,0,1,Deluxe,1,7,6769.9,0.64
City Hotel,22,10,22,6,1,1,0,1,Suite,0,8,9852.32,0.675
City Hotel,154,7,3,4,0,1,1,1,Standard,1,4,4075.54,0.691
Resort Hotel,185,1,48,6,3,3,2,0,Family,3,2,8131.84,0.534
Resort Hotel,248,12,23,5,3,2,1,1,Suite,3,0,10448.2,0.832
City Hotel,236,7,3,4,1,3,0,0,Standard,2,7,4334.08,0.635
City Hotel,292,3,6,4,1,2,1,0,Suite,2,5,8776.87,0.576
Resort Hotel,133,9,40,0,2,2,1,0,Family,3,4,7668.5,0.943
Resort Hotel,320,6,23,0,0,3,0,0,Deluxe,2,6,5165.9,0.655
Resort Hotel,21,9,12,7,3,1,2,1,Standard,2,4,5688.46,0.832
Resort Hotel,360,5,5,0,3,2,2,0,Family,2,3,7075.27,0.768
City Hotel,87,7,5,5,3,1,1,1,Standard,3,4,4510.52,0.53
Resort Hotel,152,4,3,3,2,3,2,0,Standard,0,6,3931.08,0.58
City Hotel,124,7,4,1,0,2,0,1,Deluxe,0,5,5817.83,0.66
Resort Hotel,78,1,24,5,3,1,2,1,Deluxe,4,9,6666.44,0.726
Resort Hotel,345,7,5,6,3,2,1,1,Suite,2,9,9461.09,0.863
Resort Hotel,50,8,31,0,2,2,0,1,Family,0,8,7716.12,0.555
Resort Hotel,215,5,35,4,1,3,0,1,Family,4,9,8177.85,0.524
Resort Hotel,175,2,42,5,3,1,0,0,Deluxe,1,1,5232.92,0.673
City Hotel,357,5,19,4,0,1,1,0,Standard,2,6,3811.1,0.573
City Hotel,252,6,8,7,0,2,1,0,Suite,0,0,9276.07,0.715
Resort Hotel,245,12,28,6,0,1,2,0,Deluxe,0,7,6063.6,0.778
Resort Hotel,226,2,38,4,0,2,1,1,Suite,0,3,8198.13,0.443
City Hotel,105,6,23,4,2,3,0,0,Suite,4,7,10261.62,0.78
Resort Hotel,192,6,7,7,3,3,1,0,Family,1,7,8145.02,0.577
Resort Hotel,315,1,38,2,2,1,1,0,Suite,2,3,8416.63,0.512
City Hotel,301,1,13,3,0,3,2,0,Family,0,3,7454.27,0.412
Resort Hotel,35,11,45,1,0,3,0,0,Standard,3,4,4655.39,0.664
Resort Hotel,203,10,21,1,0,1,2,1,Standard,2,6,4446.7,0.756
City Hotel,266,3,37,0,2,2,2,1,Deluxe,3,5,4739.03,0.48
City Hotel,267,10,6,2,0,3,2,0,Standard,4,0,5241.21,0.901
City Hotel,169,10,10,5,3,1,0,1,Family,0,5,7789.43,0.819
Resort Hotel,38,12,27,7,0,1,2,0,Suite,2,2,10575.47,0.879
City Hotel,138,3,52,5,3,1,0,1,Suite,2,8,9438.2,0.546
City Hotel,291,4,26,1,3,3,2,1,Standard,0,2,3744.6,0.573
City Hotel,51,2,42,3,0,3,2,0,Family,1,8,7820.72,0.594
City Hotel,286,9,28,4,2,2,0,1,Suite,4,4,8380.42,0.455
City Hotel,288,10,16,6,1,2,1,0,Standard,0,9,4895.03,0.704
City Hotel,140,12,50,0,1,2,2,0,Family,2,7,8063.53,0.618
Resort Hotel,145,11,28,3,3,2,1,1,Family,1,8,8832.38,0.798
Resort Hotel,313,7,3,1,2,2,2,1,Suite,2,8,8606.23,0.559
City Hotel,183,7,1,2,1,2,1,1,Deluxe,3,6,5438.67,0.663
City Hotel,151,6,3,0,0,1,1,1,Deluxe,2,9,5279.26,0.561
City Hotel,200,3,30,7,0,2,1,0,Family,4,0,6173.98,0.718
Resort Hotel,127,6,19,1,3,3,1,0,Family,0,7,7468.61,0.876
Resort Hotel,286,12,33,5,2,2,1,0,Standard,2,6,6363.44,0.892
Resort Hotel,310,8,8,0,2,3,0,0,Family,3,3,7415.15,0.797
Resort Hotel,252,8,19,7,1,2,1,0,Standard,3,5,4507.78,0.696
Resort Hotel,265,11,36,1,1,1,0,0,Standard,0,9,4356.3,0.712
Resort Hotel,187,9,48,5,0,1,2,1,Standard,3,1,5255.61,0.532
Resort Hotel,229,1,37,6,3,3,0,0,Family,0,3,8167.03,0.543
Resort Hotel,270,1,5,5,2,2,1,0,Family,4,7,7035.55,0.495
Resort Hotel,258,3,34,4,1,1,0,1,Standard,0,3,3189.19,0.597
City Hotel,298,3,38,7,1,1,1,1,Suite,1,9,8605.07,0.504
City Hotel,197,10,27,7,3,2,0,0,Family,3,3,8694.18,0.601
City Hotel,322,8,39,2,3,3,2,0,Deluxe,3,3,6331.53,0.584
City Hotel,55,10,47,7,0,3,1,1,Suite,2,9,10550.14,0.903
Resort Hotel,318,1,42,4,3,3,1,0,Deluxe,1,8,5666.63,0.719
Resort Hotel,202,2,42,1,0,1,0,1,Family,2,1,6384.69,0.393
City Hotel,270,2,51,6,0,2,0,1,Suite,0,6,9324.79,0.483
Resort Hotel,108,3,24,3,3,1,0,1,Family,4,2,8146.1,0.4
City Hotel,115,6,48,6,3,1,0,0,Family,3,3,8206.68,0.656
Resort Hotel,91,1,31,6,3,1,0,0,Suite,4,0,9006.01,0.534
City Hotel,137,2,22,7,3,1,1,1,Family,0,2,7247.65,0.538
Resort Hotel,302,1,23,6,3,2,2,1,Suite,0,1,8619.89,0.475
Resort Hotel,56,5,41,7,0,1,0,0,Family,1,9,8062.2,0.65
City Hotel,49,7,24,4,1,1,1,0,Standard,2,6,5208.38,0.74
Resort Hotel,70,8,40,3,2,3,2,0,Deluxe,3,5,6401.65,0.769
City Hotel,81,10,32,5,2,1,2,1,Standard,3,0,4968.15,0.872
City Hotel,104,1,51,7,0,2,0,1,Family,4,7,7240.59,0.49
City Hotel,87,7,33,1,0,1,1,1,Family,1,8,8297.73,0.616
City Hotel,1,5,28,2,1,2,1,0,Family,0,0,7845.65,0.72
Resort Hotel,359,10,17,3,3,2,1,1,Standard,1,4,5217.33,0.694
Resort Hotel,83,1,26,1,0,2,1,1,Family,3,6,6763.36,0.504
Resort Hotel,42,3,18,7,2,3,1,1,Suite,2,1,9790.2,0.52
City Hotel,153,7,15,3,3,3,2,0,Deluxe,4,5,6158.32,0.845
Resort Hotel,326,10,38,7,0,1,2,1,Family,0,7,7930.02,0.808
City Hotel,93,1,22,4,3,1,2,1,Family,0,7,7297.42,0.412
Resort Hotel,297,7,49,1,2,1,1,0,Deluxe,0,9,4916.05,0.675
Resort Hotel,132,5,18,4,3,2,2,1,Deluxe,2,9,5717.21,0.666
Resort Hotel,64,1,21,0,0,2,2,0,Deluxe,3,7,4954.74,0.413
City Hotel,289,1,19,1,0,2,0,0,Standard,3,5,1973.37,0.56
Resort Hotel,256,1,2,3,2,1,2,1,Standard,1,5,3305.4,0.51
Resort Hotel,212,11,30,0,1,1,0,0,Family,1,2,7793.57,0.652
City Hotel,147,9,25,4,1,1,1,1,Deluxe,3,1,5861.93,0.59
Resort Hotel,60,11,26,4,3,1,1,0,Family,0,4,8577.64,0.912
City Hotel,148,3,39,3,0,3,1,1,Family,2,8,7187.79,0.491
Resort Hotel,87,5,17,0,0,3,1,0,Family,3,3,8270.38,0.726
City Hotel,323,11,47,6,2,3,2,0,Standard,2,4,5484.22,0.841
City Hotel,277,10,16,5,2,1,0,0,Deluxe,4,5,7274.54,0.688
Resort Hotel,81,12,27,2,0,3,1,1,Family,0,5,8531.7,0.85
City Hotel,128,9,49,3,2,3,1,1,Standard,4,3,4786.53,0.758
City Hotel,285,6,3,4,1,1,0,1,Suite,3,3,8905.04,0.741
City Hotel,352,12,42,1,1,3,0,0,Suite,1,7,7935.39,0.817
City Hotel,279,9,38,0,3,1,0,0,Family,3,4,7782.25,0.692
City Hotel,269,8,29,7,2,1,0,1,Family,4,4,7815.62,0.832
City Hotel,291,8,2,5,3,1,0,1,Deluxe,2,8,5974.61,0.773
Resort Hotel,202,1,43,2,2,2,2,0,Deluxe,3,3,5078.24,0.461
City Hotel,23,9,40,1,2,1,0,0,Family,1,6,8198.97,0.707
City Hotel,350,6,14,0,1,3,2,0,Standard,4,4,2976.76,0.78
Resort Hotel,310,9,12,5,0,3,0,1,Family,3,8,7558.17,0.875
Resort Hotel,207,3,52,3,2,1,0,0,Deluxe,4,7,6015.66,0.557
Resort Hotel,279,12,24,7,2,2,1,1,Deluxe,4,7,7074.01,0.849
Resort Hotel,204,3,28,5,2,2,1,0,Standard,0,9,3350.77,0.611
Resort Hotel,151,6,39,3,0,2,1,1,Family,2,9,7628.96,0.54
Resort Hotel,25,9,18,7,3,3,1,0,Deluxe,0,2,7773.62,0.776
Resort Hotel,193,7,25,7,3,2,1,0,Family,4,8,8412.43,0.46
City Hotel,335,3,37,6,2,2,1,1,Deluxe,1,7,5423.67,0.666
City Hotel,237,3,6,0,2,1,0,0,Suite,1,2,7380.82,0.627
Resort Hotel,320,2,45,7,3,2,0,0,Suite,0,9,7727.13,0.3
City Hotel,74,9,30,5,3,2,1,0,Suite,1,0,8966.76,0.629
City Hotel,162,3,31,7,1,2,1,1,Deluxe,4,4,5410.35,0.399
City Hotel,298,11,34,2,2,1,1,0,Standard,3,3,5110.65,0.672
Resort Hotel,28,5,19,5,3,1,0,1,Suite,4,7,8781.66,0.638
Resort Hotel,164,9,28,0,1,2,1,0,Deluxe,3,5,5940.59,0.899
City Hotel,336,8,8,1,0,3,1,0,Family,1,9,6766.7,0.752
Resort Hotel,185,2,11,1,2,3,0,1,Suite,2,4,8133.22,0.512
City Hotel,53,3,16,5,3,1,0,1,Standard,2,8,3742.25,0.647
City Hotel,294,2,26,5,2,2,2,1,Standard,4,5,3645.35,0.612
City Hotel,41,8,1,3,1,3,1,1,Standard,4,2,4620.84,0.845
City Hotel,284,6,31,0,3,2,0,1,Family,1,5,6841.86,0.734
Resort Hotel,137,6,27,3,0,1,2,1,Family,2,3,7504.34,0.651
Resort Hotel,186,12,48,2,0,3,0,0,Standard,2,4,4812.26,0.649
Resort Hotel,203,9,44,6,1,1,2,0,Standard,4,5,3714.1,0.86
City Hotel,41,8,49,1,0,2,2,0,Standard,2,8,3777.53,0.688
Resort Hotel,349,4,9,7,0,1,1,0,Family,4,2,6838.25,0.511
City Hotel,287,12,26,7,0,1,1,1,Family,0,0,8887.14,0.602
Resort Hotel,25,4,6,4,0,1,2,0,Deluxe,2,1,5141.83,0.485
City Hotel,55,9,7,4,0,1,1,0,Suite,3,7,9630.27,0.765
City Hotel,252,1,13,0,0,3,0,0,Family,1,3,7174.33,0.486
City Hotel,121,2,49,7,0,2,0,1,Standard,4,6,3624.69,0.649
Resort Hotel,105,2,10,0,3,3,2,1,Suite,2,1,8465.67,0.712
Resort Hotel,129,6,43,4,0,2,2,0,Family,2,9,8210.84,0.437
Resort Hotel,336,4,46,0,3,2,0,1,Suite,4,7,7982.54,0.498
Resort Hotel,157,11,49,1,2,2,0,0,Deluxe,3,9,6024.77,0.789
City Hotel,230,10,31,2,1,2,2,1,Family,2,8,8376.31,0.898
Resort Hotel,307,3,48,2,0,2,0,0,Standard,0,6,2693.08,0.491
Resort Hotel,90,3,37,7,1,3,0,1,Standard,1,9,4958.03,0.598
City Hotel,21,3,18,3,0,2,2,0,Deluxe,4,0,5700.66,0.466
City Hotel,289,6,11,1,3,1,1,0,Deluxe,2,1,5633.75,0.642
City Hotel,109,8,10,6,0,3,0,1,Deluxe,1,8,7314.34,0.714
Resort Hotel,48,11,28,0,2,3,1,1,Deluxe,4,9,6763.65,0.743
City Hotel,128,7,21,0,1,2,1,1,Deluxe,4,6,5418.39,0.839
City Hotel,72,4,25,7,1,1,0,1,Family,4,2,7269.81,0.719
City Hotel,339,11,6,6,2,1,1,0,Family,3,4,8270.27,0.743
Resort Hotel,52,12,42,3,3,2,2,0,Suite,0,0,10324.34,0.774
City Hotel,355,4,11,3,3,2,0,0,Deluxe,4,9,5100.85,0.68
Resort Hotel,167,11,33,0,2,1,0,0,Standard,3,2,4490.87,0.78
Resort Hotel,44,10,5,0,1,3,1,0,Standard,4,3,4972.95,0.751
City Hotel,104,11,34,6,0,3,0,0,Deluxe,4,3,6710.89,0.706
City Hotel,149,11,32,7,3,2,0,0,Deluxe,3,6,7057.37,0.835
Resort Hotel,145,11,43,1,0,3,1,0,Deluxe,0,4,6215.01,0.711
City Hotel,203,2,46,6,1,3,1,1,Deluxe,1,8,5452.05,0.486
